easy_problems_solved,medium_problems_solved,hard_problems_solved,easy_problems_given,medium_problems_given,hard_problems_given,total_problems_given,total_problems_solved,next_easy,next_medium,next_hard
9,5,3,17,11,5,33,17,3,15,5
5,6,6,23,14,11,48,17,4,16,5
6,7,4,24,23,13,60,17,4,18,7
14,11,5,17,24,15,56,30,1,23,7
4,21,10,19,22,10,51,35,4,37,2
12,1,0,18,14,7,39,13,2,9,10
1,18,13,21,25,14,60,32,5,33,2
7,9,10,19,17,15,51,26,4,21,4
4,2,4,28,18,6,52,10,5,11,4
18,18,1,18,21,6,45,37,1,34,9
3,7,4,24,21,12,57,14,5,17,7
3,7,8,17,15,12,44,18,5,18,4
8,0,4,14,10,15,39,12,2,8,8
18,3,5,25,18,8,51,26,2,12,5
11,6,6,14,22,12,48,23,1,17,6
8,15,6,18,15,12,45,29,3,29,6
16,1,3,29,18,8,55,20,2,9,6
2,7,7,10,12,8,30,16,4,18,2
6,7,3,14,18,7,39,16,4,18,6
22,3,11,23,11,13,47,36,1,12,2
1,18,2,17,24,6,47,21,6,33,8
15,3,0,26,17,7,50,18,2,12,10
7,6,3,19,25,12,56,16,4,16,8
15,18,11,29,22,13,64,44,3,33,2
12,9,9,18,10,13,41,30,2,21,4
7,0,2,30,16,10,56,9,4,8,8
7,0,12,11,15,15,41,19,2,8,2
12,18,6,30,19,9,58,36,3,34,4
9,0,9,14,17,10,41,18,2,8,2
1,25,7,21,25,13,59,33,5,43,5
11,11,2,11,16,5,32,24,1,23,7
9,9,5,23,16,5,44,23,3,20,2
19,9,3,19,19,6,44,31,1,20,6
3,23,2,10,25,6,41,28,4,40,7
4,5,10,24,13,12,49,19,5,15,2
5,11,7,19,14,10,43,23,4,23,3
14,9,0,28,20,8,56,23,3,20,10
9,11,3,20,19,8,47,23,3,23,7
9,5,1,25,21,14,60,15,4,15,9
1,13,9,11,17,9,37,23,5,26,2
6,2,2,16,21,8,45,10,4,11,8
8,8,2,20,10,7,37,18,3,20,8
1,23,3,12,25,14,51,27,5,40,8
3,0,6,25,23,7,55,9,5,8,3
20,2,9,27,18,14,59,31,2,10,4
8,5,1,17,12,5,34,14,3,15,8
6,11,3,23,15,12,50,20,4,23,8
6,1,3,12,21,11,44,10,3,9,8
14,7,5,19,17,9,45,26,2,18,5
3,11,9,17,15,13,45,23,5,23,4
18,12,7,22,23,11,56,37,1,25,4
16,0,9,20,11,12,43,25,1,8,3
4,16,5,10,22,6,38,25,4,30,3
11,17,1,20,17,10,47,29,3,32,9
2,17,3,17,19,7,43,22,5,31,6
3,7,4,22,23,5,50,14,5,17,3
22,1,9,30,10,15,55,32,1,9,4
11,4,1,20,16,7,43,16,3,14,9
6,9,5,25,15,6,46,20,4,20,3
15,12,7,29,14,9,52,34,3,25,3
5,5,9,21,19,9,49,19,4,15,2
7,4,1,13,14,10,37,12,3,14,9
4,11,2,20,24,10,54,17,5,23,8
6,4,3,19,17,14,50,13,4,13,8
17,7,3,24,10,11,45,27,2,18,7
4,18,2,16,20,15,51,24,5,33,9
11,12,3,16,14,8,38,26,2,25,7
8,5,0,29,11,10,50,13,4,15,10
12,17,7,30,19,11,60,36,4,32,5
10,5,0,16,15,8,39,15,2,15,10
14,16,2,28,19,7,54,32,3,30,7
4,18,13,16,24,15,55,35,4,34,2
3,13,1,18,21,15,54,17,5,26,9
4,9,11,29,19,13,61,24,5,21,2
11,7,0,24,18,6,48,18,3,17,10
19,16,0,29,22,11,62,35,2,30,10
4,6,0,10,11,5,26,10,4,16,10
10,0,0,11,16,7,34,10,1,8,10
2,0,7,22,16,13,51,9,5,8,5
13,12,3,13,18,5,36,28,1,25,5
3,8,2,22,14,9,45,13,5,19,8
5,8,7,28,21,8,57,20,5,19,2
2,8,0,27,20,8,55,10,5,19,10
11,3,9,30,23,9,62,23,4,12,2
18,11,6,20,21,14,55,35,1,24,6
15,8,12,16,18,12,46,35,1,20,2
18,13,6,18,14,10,42,37,1,26,5
8,21,3,12,22,11,45,32,2,37,7
9,0,5,17,10,5,32,14,3,8,2
14,11,2,20,13,7,40,27,2,23,8
5,16,8,29,23,13,65,29,5,31,5
7,9,10,19,25,15,59,26,4,21,4
15,14,2,30,15,5,50,31,3,28,7
25,16,4,28,18,5,51,45,1,31,4
1,16,6,21,19,13,53,23,5,30,6
12,22,1,14,24,5,43,35,1,39,8
4,8,2,19,16,7,42,14,5,19,7
0,13,7,23,20,14,57,20,6,26,5
10,3,3,30,22,15,67,16,4,12,8
6,16,0,16,20,10,46,22,4,30,10
5,8,4,24,18,6,48,17,4,19,4
3,4,5,10,16,8,34,12,4,14,5
0,10,5,18,16,11,45,15,6,22,6
7,9,9,23,15,12,50,25,4,20,3
11,12,3,22,25,12,59,26,3,25,7
3,3,1,15,12,15,42,7,5,12,10
3,10,3,20,20,6,46,16,5,22,6
9,22,9,28,24,14,66,40,4,39,4
10,7,3,13,19,7,39,20,1,18,6
20,9,1,25,17,13,55,30,1,20,9
23,11,4,26,11,7,44,38,1,23,5
2,7,4,11,20,11,42,13,5,18,7
8,16,1,23,21,7,51,25,4,31,9
13,12,4,24,12,10,46,29,2,25,6
5,8,6,10,11,15,36,19,3,20,6
14,14,12,28,22,13,63,40,3,28,2
14,2,6,22,12,10,44,22,2,11,4
22,20,3,27,25,5,57,45,1,36,5
17,11,4,19,17,5,41,32,1,23,4
4,2,3,18,12,12,42,9,4,10,7
20,14,2,25,15,5,45,36,1,28,7
8,10,2,22,10,15,47,20,4,22,9
14,22,7,24,25,15,64,43,2,39,5
8,7,2,18,20,9,47,17,3,18,8
15,5,8,24,20,14,58,28,2,15,4
20,21,13,26,25,14,65,54,1,38,2
23,18,1,30,23,10,63,42,2,34,10
11,9,13,17,13,14,44,33,2,20,2
10,19,4,22,19,6,47,33,3,34,4
17,2,5,26,18,10,54,24,2,11,5
26,1,5,28,18,7,53,32,1,9,4
1,10,11,17,22,15,54,22,5,22,3
3,11,2,19,25,9,53,16,5,23,8
6,2,1,22,19,7,48,9,4,11,8
3,1,0,13,14,10,37,4,4,9,10
11,12,2,18,12,8,38,25,2,25,8
13,15,2,29,19,12,60,30,3,29,9
5,3,6,10,15,7,32,14,3,12,3
5,2,4,20,17,6,43,11,4,11,4
16,20,6,17,22,7,46,42,1,36,3
11,18,5,24,24,6,54,34,3,33,2
5,1,2,28,16,13,57,8,5,9,9
1,16,4,10,21,12,43,21,5,31,7
2,11,3,26,25,13,64,16,5,23,8
12,2,3,12,15,15,42,17,1,10,9
17,4,4,18,10,8,36,25,1,14,6
15,2,7,28,24,10,62,24,2,11,3
4,9,9,21,15,10,46,22,5,21,2
3,21,0,12,24,5,41,24,4,37,10
9,0,6,13,19,11,43,15,2,8,5
18,19,6,28,20,14,62,43,2,35,6
8,10,0,21,13,6,40,18,3,22,10
4,5,2,19,13,8,40,11,5,15,8
15,7,4,24,18,12,54,26,2,18,6
29,5,7,29,23,9,61,41,1,15,3
7,2,1,15,10,14,39,10,3,11,10
6,16,2,17,18,15,50,24,4,31,9
8,22,7,13,25,8,46,37,2,39,2
9,3,4,22,14,10,46,16,3,13,6
23,7,10,29,20,10,59,40,1,18,2
15,4,8,25,12,15,52,27,3,13,5
14,17,1,14,17,8,39,32,1,31,9
5,0,4,15,20,5,40,9,4,8,4
8,0,3,20,25,7,52,11,4,8,6
20,10,8,29,18,12,59,38,2,22,4
26,17,7,30,22,9,61,50,1,32,3
17,12,3,17,17,7,41,32,1,25,7
10,6,5,20,11,10,41,21,3,17,5
1,10,1,23,16,10,49,12,5,22,9
8,11,0,17,20,10,47,19,3,24,10
11,15,6,12,15,15,42,32,1,29,6
5,9,3,28,18,5,51,17,5,21,5
22,7,8,22,13,14,49,37,1,18,5
1,7,0,16,10,10,36,8,5,18,10
5,14,6,12,21,6,39,25,3,28,2
0,12,3,20,25,10,55,15,6,25,8
0,7,1,10,12,10,32,8,6,18,9
25,12,8,25,20,14,59,45,1,25,5
20,5,13,27,14,15,56,38,1,15,2
3,10,5,11,16,13,40,18,4,22,6
1,11,2,23,13,6,42,14,5,24,7
11,1,1,21,15,7,43,13,3,9,8
12,7,8,15,21,9,45,27,1,18,2
4,15,0,30,19,7,56,19,5,29,10
2,0,6,27,21,8,56,8,5,8,3
18,13,1,24,20,7,51,32,1,26,8
4,2,0,17,15,6,38,6,4,11,10
20,3,1,30,10,8,48,24,2,12,9
14,13,13,26,20,13,59,40,2,27,2
11,11,5,26,23,10,59,27,3,24,5
9,11,9,28,15,9,52,29,4,24,2
26,0,1,30,17,6,53,27,1,8,8
1,12,2,10,17,11,38,15,5,24,8
13,18,8,23,20,9,52,39,3,33,2
16,18,6,23,24,10,57,40,2,34,4
4,13,3,10,21,12,43,20,4,27,8
9,17,0,10,21,5,36,26,1,32,10
15,4,6,16,17,13,46,25,1,14,6
2,8,1,12,12,14,38,11,5,20,9
1,13,1,12,18,8,38,15,5,26,9
0,7,6,22,21,6,49,13,6,18,2
2,17,7,12,20,9,41,26,5,32,3
2,4,5,12,24,14,50,11,5,13,6
14,15,0,15,16,9,40,29,1,29,10
7,10,0,23,12,15,50,17,4,22,10
11,4,2,21,18,9,48,17,3,14,8
4,15,1,13,19,8,40,20,4,29,9
25,9,4,29,10,6,45,38,1,21,4
3,0,12,22,10,13,45,15,5,8,2
27,1,0,28,15,12,55,28,1,9,10
21,4,5,29,18,8,55,30,1,13,4
10,11,0,21,16,9,46,21,3,23,10
6,7,8,12,16,8,36,21,3,17,2
4,22,0,25,24,5,54,26,5,39,10
14,10,3,30,16,13,59,27,3,22,8
25,14,5,26,20,15,61,44,1,27,7
10,4,2,12,11,6,29,16,1,14,8
19,5,0,24,18,5,47,24,1,15,10
22,9,0,25,22,5,52,31,1,21,10
5,8,0,17,14,5,36,13,4,19,10
4,10,0,17,16,6,39,14,5,22,10
16,8,3,18,15,14,47,27,1,19,8
15,0,2,16,19,9,44,17,1,8,8
1,21,6,13,25,11,49,28,5,37,5
3,10,4,12,24,15,51,17,4,22,7
8,9,2,10,19,5,34,19,2,21,6
3,8,8,11,24,10,45,19,4,20,3
9,5,5,19,10,13,42,19,3,15,6
13,1,1,28,17,6,51,15,3,10,9
20,7,7,27,15,7,49,34,1,18,2
14,21,0,16,22,5,43,35,1,38,10
2,22,4,27,23,9,59,28,5,39,6
0,1,15,19,20,15,54,16,6,10,2
13,0,1,27,19,12,58,14,3,8,9
9,6,11,12,22,15,49,26,2,17,3
5,17,0,12,21,11,44,22,3,32,10
23,1,2,30,16,8,54,26,1,9,7
6,3,7,25,14,14,53,16,4,12,5
7,13,15,23,17,15,55,35,4,27,2
21,14,4,21,22,13,56,39,1,28,7
11,10,1,25,12,15,52,22,3,22,9
0,5,0,21,21,10,52,5,6,15,10
0,4,0,14,11,8,33,4,6,13,10
6,7,2,13,11,8,32,15,3,17,8
29,3,6,30,15,9,54,38,1,12,4
10,17,3,29,24,12,65,30,4,32,7
18,10,4,30,17,8,55,32,2,22,5
16,16,8,19,20,15,54,40,1,31,5
6,10,8,21,16,8,45,24,4,22,2
14,9,5,22,18,8,48,28,2,20,5
4,6,12,21,23,13,57,22,5,16,2
3,6,5,23,20,7,50,14,5,16,4
11,14,6,23,23,8,54,31,3,28,3
13,14,0,15,17,15,47,27,1,27,10
4,9,8,29,16,11,56,21,5,20,4
6,19,8,25,19,10,54,33,4,34,2
0,18,11,21,25,14,60,29,6,34,2
17,9,4,25,16,5,46,30,2,20,3
19,13,4,21,16,12,49,36,1,26,7
15,0,4,19,22,6,47,19,1,8,4
14,5,10,16,14,15,45,29,1,15,4
17,3,8,27,14,12,53,28,2,12,4
28,3,3,30,25,11,66,34,1,12,8
16,2,15,28,13,15,56,33,3,10,2
25,2,4,30,15,6,51,31,1,11,4
9,12,4,23,16,5,44,25,3,25,3
6,6,3,22,22,11,55,15,4,16,7
3,19,2,30,20,7,57,24,5,35,7
24,15,5,26,19,11,56,44,1,29,6
19,12,7,27,21,12,60,38,2,25,4
18,13,8,26,16,11,53,39,2,26,4
2,11,0,23,12,9,44,13,5,23,10
12,2,5,12,17,6,35,19,1,11,3
10,8,0,10,14,12,36,18,1,19,10
12,19,5,20,24,7,51,36,2,35,4
25,6,9,25,16,14,55,40,1,16,4
1,2,13,10,14,15,39,16,5,10,2
3,21,3,15,25,6,46,27,4,37,6
7,2,13,10,17,15,42,22,2,10,2
1,16,10,20,23,12,55,27,6,30,3
23,1,4,23,12,6,41,28,1,9,4
3,12,9,11,23,11,45,24,4,25,3
12,19,2,15,23,10,48,33,1,35,8
2,6,1,17,15,10,42,9,5,17,9
5,10,2,30,22,9,61,17,5,22,8
3,1,5,10,20,9,39,9,4,9,5
17,6,0,20,24,9,53,23,1,16,10
7,8,3,11,13,13,37,18,2,19,8
7,7,1,10,20,6,36,15,2,18,8
7,5,6,10,13,6,29,18,2,15,2
21,3,7,25,22,9,56,31,1,12,3
23,4,0,29,15,12,56,27,1,14,10
21,6,3,22,23,10,55,30,1,16,7
4,1,1,13,20,6,39,6,4,10,9
12,11,5,30,22,15,67,28,3,24,6
7,13,7,16,16,12,44,27,3,26,5
2,5,8,24,13,8,45,15,5,15,2
25,15,12,29,18,12,59,52,1,29,2
8,10,3,10,18,12,40,21,2,22,7
27,4,8,29,16,13,58,39,1,14,4
8,14,6,20,22,13,55,28,3,27,6
2,6,5,12,17,8,37,13,5,17,5
26,10,12,28,12,15,55,48,1,22,3
11,11,3,12,23,9,44,25,1,23,7
1,12,2,10,25,13,48,15,5,25,9
2,7,3,29,24,11,64,12,5,18,8
4,13,0,13,20,6,39,17,4,26,10
12,4,8,19,18,14,51,24,2,13,4
2,8,0,14,23,9,46,10,5,19,10
13,1,4,15,11,5,31,18,1,9,3
12,9,1,30,10,9,49,22,3,21,9
6,12,4,12,12,7,31,22,3,24,5
9,2,2,22,16,9,47,13,3,11,8
17,21,1,28,22,14,64,39,2,37,9
26,7,2,29,13,5,47,35,1,18,7
11,9,2,24,11,14,49,22,3,21,8
5,12,6,11,23,13,47,23,3,25,6
6,20,5,19,23,10,52,31,4,36,5
5,5,2,17,12,11,40,12,4,15,9
7,1,1,11,21,13,45,9,2,10,10
0,9,0,25,13,9,47,9,6,21,10
18,10,4,27,19,5,51,32,2,22,3
0,11,0,17,16,8,41,11,6,24,10
6,7,2,14,18,6,38,15,4,18,7
14,16,3,27,17,11,55,33,3,30,7
6,0,2,13,21,8,42,8,3,8,7
2,12,10,10,23,10,43,24,4,25,2
10,18,9,11,23,10,44,37,1,33,2
6,14,2,28,25,6,59,22,4,27,7
7,0,1,16,15,14,45,8,3,8,10
19,10,8,27,23,10,60,37,2,22,2
3,2,9,25,13,14,52,14,5,11,4
17,24,9,19,25,11,55,50,1,42,3
23,10,7,26,13,10,49,40,1,22,4
18,3,1,23,23,10,56,22,1,12,9
4,2,2,12,20,14,46,8,4,10,9
3,2,0,16,13,5,34,5,4,11,10
17,10,6,22,16,8,46,33,1,22,3
2,11,3,11,15,5,31,16,5,23,5
10,13,8,19,15,14,48,31,3,26,5
20,17,4,29,24,9,62,41,2,32,6
8,5,2,30,10,14,54,15,4,15,9
7,11,4,21,16,7,44,22,4,24,5
17,9,6,28,13,7,48,32,2,21,3
8,0,7,18,11,11,40,15,3,8,4
26,17,4,28,21,7,56,47,1,31,5
5,7,5,11,24,12,47,17,3,18,6
8,16,7,12,16,14,42,31,2,30,5
6,9,9,12,14,10,36,24,3,21,2
8,1,1,20,10,5,35,10,3,9,8
18,7,3,21,12,13,46,28,1,18,8
5,21,6,11,22,6,39,32,3,38,2
22,18,8,25,23,11,59,48,1,33,3
1,7,15,24,11,15,50,23,5,18,2
0,22,2,14,22,14,50,24,6,39,9
9,9,7,21,10,13,44,25,3,21,5
2,8,1,14,23,14,51,11,5,19,10
15,12,2,15,22,6,43,29,1,25,7
3,14,3,10,14,6,30,20,4,27,5
7,0,1,23,11,5,39,8,4,8,8
6,12,0,15,13,7,35,18,4,25,10
1,12,3,12,24,6,42,16,5,25,6
15,12,8,29,17,12,58,35,3,25,3
4,3,4,15,23,13,51,11,4,12,7
17,2,3,17,17,7,41,22,1,10,6
3,5,10,13,11,10,34,18,5,15,2
3,7,12,29,10,14,53,22,5,18,2
4,3,2,10,16,6,32,9,3,12,7
5,1,9,23,18,12,53,15,5,9,3
9,10,1,27,12,5,44,20,4,22,8
3,4,6,16,16,7,39,13,5,14,3
12,9,10,12,14,15,41,31,1,21,4
4,0,7,27,10,9,46,11,5,8,3
14,4,0,14,17,8,39,18,1,14,10
17,17,5,21,19,15,55,39,1,32,7
0,19,13,14,25,14,53,32,6,34,2
9,20,14,13,24,15,52,43,2,36,2
5,2,0,12,12,9,33,7,3,11,10
4,15,6,20,25,6,51,25,5,29,2
19,1,8,25,24,14,63,28,2,10,4
10,6,3,25,23,8,56,19,3,17,7
5,8,15,29,15,15,59,28,5,19,2
5,12,2,30,24,5,59,19,5,25,6
12,0,8,13,18,9,40,20,1,8,2
22,9,2,23,11,10,44,33,1,20,8
10,8,13,10,23,13,46,31,1,19,2
16,2,3,26,13,9,48,21,2,11,7
7,18,1,26,22,8,56,26,4,33,9
2,3,6,11,11,8,30,11,5,12,3
3,5,13,22,22,13,57,21,5,15,2
15,1,11,16,14,15,45,27,1,10,3
8,4,6,10,18,7,35,18,1,14,3
11,4,3,13,14,6,33,18,1,13,6
24,7,1,26,18,8,52,32,1,18,9
11,18,8,11,19,15,45,37,1,33,5
3,9,8,22,10,8,40,20,5,20,2
1,7,6,12,14,10,36,14,5,18,4
10,7,6,25,11,9,45,23,4,18,4
11,13,6,28,20,10,58,30,3,27,5
9,5,3,22,11,5,38,17,4,15,5
14,1,4,23,22,7,52,19,2,9,5
2,6,3,15,25,9,49,11,5,17,7
23,2,4,24,16,10,50,29,1,10,7
5,8,7,29,11,8,48,20,5,19,3
19,6,11,19,21,12,52,36,1,16,2
4,5,11,23,12,11,46,20,5,15,2
8,12,4,11,15,11,37,24,2,25,6
4,23,2,14,23,6,43,29,4,40,7
26,8,11,27,15,13,55,45,1,19,2
11,2,9,23,17,11,51,22,3,11,2
4,0,9,12,22,11,45,13,4,8,3
12,3,3,26,15,10,51,18,3,12,7
10,9,1,14,24,7,45,20,2,21,9
24,11,11,26,22,11,59,46,1,24,2
24,4,6,25,13,8,46,34,1,13,3
11,23,1,25,23,7,55,35,3,40,9
22,5,1,24,19,7,50,28,1,15,9
8,7,6,11,18,10,39,21,2,18,5
8,15,3,11,19,8,38,26,2,29,6
25,6,11,29,11,14,54,42,1,16,3
0,4,1,16,11,12,39,5,6,14,9
13,10,5,15,18,6,39,28,1,22,3
8,17,3,29,17,10,56,28,4,32,8
5,10,8,18,10,10,38,23,4,22,3
15,1,9,21,10,9,40,25,1,9,2
21,8,3,22,25,7,54,32,1,19,6
11,5,5,15,12,8,35,21,2,15,5
12,14,5,12,16,8,36,31,1,28,4
20,15,9,30,24,13,67,44,2,29,4
2,23,0,10,23,15,48,25,5,40,10
1,15,5,10,15,8,33,21,5,29,4
2,2,2,11,11,13,35,6,5,11,9
7,4,1,19,17,9,45,12,4,14,9
22,9,4,28,20,8,56,35,1,20,6
10,19,2,18,20,11,49,31,2,35,8
0,6,5,15,21,13,49,11,6,17,7
6,2,6,15,25,11,51,14,4,11,5
16,8,5,18,15,14,47,29,1,19,6
5,3,5,21,18,12,51,13,4,12,6
1,16,3,17,16,7,40,20,6,31,7
0,17,4,11,23,5,39,21,6,32,3
3,6,1,15,21,5,41,10,5,17,8
3,12,12,10,13,14,37,27,4,25,2
7,4,4,13,17,6,36,15,3,14,4
6,11,0,23,20,5,48,17,4,24,10
5,3,2,18,12,15,45,10,4,12,9
24,5,7,25,25,8,58,36,1,15,2
8,19,6,22,19,12,53,33,4,35,5
3,23,8,10,24,14,48,34,4,40,5
24,1,10,24,10,10,44,35,1,10,2
10,17,0,18,18,6,42,27,3,32,10
6,13,1,11,15,12,38,20,3,26,10
16,17,3,28,19,7,54,36,2,31,6
7,6,6,15,18,14,47,19,3,16,6
2,1,8,20,12,8,40,11,5,9,2
22,10,13,23,15,15,53,45,1,22,2
4,17,8,11,25,13,49,29,4,31,5
7,8,2,23,12,5,40,17,4,19,7
4,4,10,22,24,13,59,18,5,14,3
10,9,4,19,11,8,38,23,3,21,6
4,13,5,23,18,6,47,22,5,26,3
10,6,0,13,10,7,30,16,2,16,10
4,7,2,14,23,15,52,13,4,18,8
18,9,9,24,24,10,58,36,2,20,2
18,3,10,26,18,14,58,31,2,12,3
12,11,9,16,14,10,40,32,1,24,2
10,13,4,10,21,7,38,27,1,26,5
24,1,8,26,13,13,52,33,1,9,4
2,6,4,12,21,10,43,12,5,17,6
0,8,10,19,20,10,49,18,6,19,2
10,2,8,14,11,12,37,20,2,10,3
14,5,0,29,15,9,53,19,3,15,10
7,12,11,29,17,14,60,30,4,24,3
6,14,0,10,20,5,35,20,3,27,10
7,7,6,29,12,10,51,20,5,18,4
3,12,0,10,15,11,36,15,4,25,10
16,3,2,27,17,9,53,21,2,12,8
12,0,4,23,13,13,49,16,3,8,7
19,1,11,21,18,15,54,31,1,9,3
3,4,1,15,10,5,30,8,5,14,8
1,18,8,14,22,14,50,27,5,34,5
24,15,2,25,15,9,49,41,1,29,8
3,6,7,26,10,14,50,16,5,16,5
9,3,5,12,17,6,35,17,2,13,3
14,22,5,14,22,6,42,41,1,39,3
15,16,0,19,24,11,54,31,1,30,10
4,0,2,13,14,5,32,6,4,8,7
10,4,5,14,19,7,40,19,2,13,4
11,12,6,15,22,11,48,29,2,25,5
10,11,5,13,22,9,44,26,2,23,5
1,8,10,16,13,11,40,19,5,20,2
1,20,12,19,20,13,52,33,5,36,2
6,10,0,21,23,6,50,16,4,22,10
14,6,10,30,10,12,52,30,3,17,2
6,0,12,27,12,15,54,18,5,8,3
21,4,5,22,25,7,54,30,1,14,3
9,9,5,24,11,12,47,23,4,21,6
13,5,6,13,14,8,35,24,1,15,3
12,15,0,13,23,11,47,27,1,29,10
4,13,8,13,13,15,41,25,4,26,5
6,1,7,18,13,13,44,14,4,10,5
19,8,11,23,22,14,59,38,1,19,2
14,16,1,17,23,10,50,31,1,30,9
5,11,13,27,15,14,56,29,5,23,2
16,0,2,26,20,9,55,18,2,8,8
9,12,2,14,12,5,31,23,2,24,6
22,7,0,28,19,10,57,29,1,18,10
1,9,9,26,18,13,57,19,6,20,4
10,3,11,20,14,15,49,24,3,12,4
13,7,12,18,10,14,42,32,2,17,2
15,3,8,19,25,11,55,26,1,12,4
16,3,5,18,16,9,43,24,1,12,5
3,1,1,20,12,5,37,5,5,9,8
17,8,3,20,25,11,56,28,1,19,7
3,7,8,18,15,11,44,18,5,18,3
9,6,2,24,13,9,46,17,4,16,8
1,1,9,11,19,9,39,11,5,9,2
5,5,2,16,21,15,52,12,4,15,9
5,0,0,26,12,7,45,5,5,8,10
2,21,5,10,22,10,42,28,5,37,5
0,14,14,16,20,15,51,28,6,28,2
14,1,2,21,13,13,47,17,2,9,9
9,8,0,26,12,8,46,17,4,19,10
11,5,5,26,17,15,58,21,3,15,7
0,15,5,22,22,14,58,20,6,29,7
14,0,5,22,15,6,43,19,2,8,3
7,6,5,14,13,6,33,18,3,17,3
2,0,7,11,14,8,33,9,5,8,2
29,5,5,30,25,11,66,39,1,15,6
4,0,8,19,15,10,44,12,5,8,2
5,11,7,20,18,7,45,23,4,23,2
19,9,10,19,13,14,46,38,1,21,3
8,9,0,13,11,7,31,17,2,20,10
5,8,5,16,18,10,44,18,4,19,5
18,16,3,22,21,11,54,37,1,30,7
0,4,13,19,13,13,45,17,6,14,2
16,12,6,26,12,8,46,34,2,24,4
13,12,2,25,15,8,48,27,3,25,8
12,12,5,17,12,15,44,29,2,25,7
18,6,0,25,20,5,50,24,2,16,10
15,6,9,26,14,11,51,30,3,17,3
9,3,7,21,11,11,43,19,3,13,4
21,8,1,27,20,6,53,30,1,19,8
0,1,4,23,25,11,59,5,6,9,6
5,5,0,15,16,11,42,10,4,15,10
6,8,9,27,12,9,48,23,4,19,2
5,24,12,15,25,14,54,41,4,42,2
4,1,2,14,12,10,36,7,4,10,8
8,4,3,28,25,12,65,15,4,13,8
9,10,3,10,10,10,30,22,1,22,7
7,5,7,15,21,11,47,19,3,15,4
9,15,7,21,20,11,52,31,3,29,4
21,10,2,28,19,10,57,33,1,22,8
15,4,1,18,23,11,52,20,1,14,10
3,15,2,25,25,7,57,20,5,29,7
18,7,2,28,21,7,56,27,2,18,7
3,13,1,25,18,5,48,17,5,26,8
21,23,11,22,25,13,60,55,1,40,2
20,0,1,24,13,7,44,21,1,8,9
24,2,1,26,18,11,55,27,1,11,9
9,0,8,30,24,14,68,17,4,8,4
18,13,3,30,22,6,58,34,2,26,5
9,18,7,26,20,8,54,34,4,33,2
1,9,1,13,24,8,45,11,5,20,9
14,17,7,25,19,8,52,38,3,31,3
12,12,5,26,13,7,46,29,3,25,4
7,18,3,14,23,5,42,28,3,33,5
0,4,5,12,11,5,28,9,6,14,2
8,15,3,25,20,6,51,26,4,29,6
9,4,1,13,14,6,33,14,2,14,9
15,13,7,28,19,13,60,35,3,26,5
0,8,3,20,11,8,39,11,6,19,7
0,21,3,12,21,6,39,24,6,37,5
16,11,6,30,11,7,48,33,3,23,2
7,0,7,22,11,11,44,14,4,8,4
17,6,6,17,12,11,40,29,1,17,5
5,14,4,19,21,13,53,23,4,28,7
4,12,9,15,12,11,38,25,4,25,2
5,7,6,27,15,14,56,18,4,17,6
9,12,3,12,18,14,44,24,2,25,8
20,14,2,21,25,5,51,36,1,27,7
9,8,8,16,10,9,35,25,3,19,2
23,9,4,25,19,15,59,36,1,20,7
6,17,4,12,18,5,35,27,3,32,3
0,6,11,16,25,15,56,17,6,16,3
0,10,3,12,13,15,40,13,6,22,8
20,14,1,29,23,9,61,35,2,28,9
8,15,5,17,18,7,42,28,3,29,4
3,4,11,13,13,11,37,18,5,13,2
13,12,4,16,25,10,51,29,1,24,7
1,14,3,30,17,5,52,18,6,27,5
10,22,10,20,25,10,55,42,3,38,2
8,20,3,18,24,5,47,31,3,36,5
14,17,8,21,18,12,51,39,2,32,4
12,9,7,24,12,7,43,28,3,20,2
9,0,4,30,18,6,54,13,4,8,4
24,6,15,28,11,15,54,45,1,17,2
5,9,2,19,16,11,46,16,4,21,8
7,6,8,24,12,9,45,21,4,17,2
17,14,1,21,24,6,51,32,1,27,9
20,10,2,20,18,10,48,32,1,22,8
8,2,13,25,21,15,61,23,4,10,2
0,17,3,25,22,8,55,20,6,32,6
20,1,5,25,10,5,40,26,1,9,2
14,0,6,19,20,7,46,20,1,8,2
10,8,6,28,22,11,61,24,4,19,5
4,16,2,24,19,6,49,22,5,31,7
9,1,13,12,13,13,38,23,2,9,2
5,16,4,12,23,6,41,25,3,30,4
11,4,1,26,17,8,51,16,3,14,9
6,9,5,13,14,5,32,20,3,20,2
15,3,5,26,12,7,45,23,2,12,4
10,13,3,13,13,7,33,26,1,26,6
6,13,12,10,14,13,37,31,2,27,2
7,13,12,15,19,15,49,32,3,26,3
17,4,0,19,17,6,42,21,1,13,10
5,7,2,30,10,14,54,14,5,18,8
16,6,7,21,22,13,56,29,2,16,5
4,9,11,18,16,12,46,24,4,21,2
20,11,6,26,17,12,55,37,1,24,5
16,8,2,19,24,11,54,26,1,20,8
5,15,1,25,19,5,49,21,5,29,8
5,8,4,21,24,5,50,17,4,19,3
8,10,3,14,16,12,42,21,3,22,7
6,6,4,10,20,12,42,16,2,17,7
1,4,3,22,21,13,56,8,6,13,8
11,19,3,28,19,14,61,33,3,34,8
16,0,1,17,23,7,47,17,1,8,8
13,7,3,26,16,12,54,23,3,18,8
4,17,9,23,21,10,54,30,5,31,2
17,2,1,19,17,15,51,20,1,11,9
2,6,0,10,10,9,29,8,5,16,10
