topic,level,days_spent,next_topic
trie,hard,6,string matching
math,easy,2,number theory
dynamic programming,easy,1,bitmask
number theory,hard,6,combinatorics
bitmask,medium,3,backtracking
string,easy,1,hash table
probability,easy,1,statistics
shortest path,medium,5,graph theory
math,medium,5,number theory
math,medium,4,number theory
hash table,medium,3,graph theory
design,easy,1,system design
rolling hash,hard,7,suffix array
system design,medium,3,concurrency
matrix,hard,6,simulation
simulation,hard,7,design
tree,hard,7,graph theory
segment tree,medium,4,binary indexed tree
graph theory,easy,1,shortest path
number theory,medium,5,combinatorics
hash table,hard,7,tree
linked list,medium,5,doubly-linked list
number theory,easy,2,combinatorics
tree,medium,5,graph theory
greedy,easy,1,dynamic programming
string matching,medium,4,rolling hash
hash table,medium,5,tree
string matching,medium,3,rolling hash
depth-first search,medium,4,breadth-first search
matrix,hard,7,simulation
graph theory,medium,4,shortest path
greedy,hard,7,dynamic programming
array,medium,4,string
segment tree,medium,4,binary indexed tree
simulation,medium,5,design
concurrency,easy,1,design
binary tree,medium,5,depth-first search
binary indexed tree,medium,3,range query
graph theory,easy,1,minimum spanning tree
shortest path,medium,4,graph theory
stack,hard,7,monotonic stack
simulation,medium,3,design
segment tree,medium,4,binary indexed tree
hash table,easy,2,tree
recursion,easy,1,divide and conquer
combinatorics,easy,1,probability
binary search,medium,3,tree
recursion,medium,3,divide and conquer
system design,easy,1,concurrency
binary tree,easy,2,depth-first search
tree,medium,5,graph theory
string,medium,5,hash table
recursion,hard,7,divide and conquer
binary tree,medium,5,depth-first search
string,easy,1,hash table
rolling hash,medium,5,suffix array
dynamic programming,medium,4,memoization
string,medium,3,sorting
linked list,hard,7,doubly-linked list
hash table,medium,4,graph theory
greedy,medium,4,dynamic programming
array,easy,2,hash table
linked list,easy,1,doubly-linked list
binary indexed tree,medium,5,range query
sorting,easy,2,binary search
trie,hard,6,string matching
stack,hard,6,monotonic stack
depth-first search,easy,2,breadth-first search
segment tree,medium,3,binary indexed tree
probability,hard,7,statistics
hash table,hard,7,tree
math,medium,3,number theory
shortest path,medium,3,graph theory
number theory,medium,4,combinatorics
binary tree,medium,4,depth-first search
breadth-first search,hard,6,graph theory
breadth-first search,medium,3,graph theory
simulation,easy,1,design
segment tree,easy,1,binary indexed tree
tree,medium,5,binary tree
backtracking,hard,6,recursion
recursion,hard,6,divide and conquer
breadth-first search,hard,7,graph theory
probability,hard,7,statistics
design,hard,7,system design
stack,hard,6,monotonic stack
math,medium,3,number theory
binary indexed tree,medium,5,range query
two pointers,medium,3,array
sorting,hard,6,greedy
system design,hard,6,concurrency
graph theory,easy,1,minimum spanning tree
linked list,hard,6,doubly-linked list
sliding window,easy,2,two pointers
stack,medium,5,monotonic stack
sliding window,medium,5,two pointers
simulation,medium,5,design
design,medium,3,system design
array,medium,4,hash table
shortest path,hard,6,graph theory
number theory,hard,6,combinatorics
trie,easy,1,string matching
greedy,medium,4,dynamic programming
system design,hard,7,concurrency
dynamic programming,hard,6,bitmask
probability,easy,1,statistics
binary search,hard,7,tree
sliding window,hard,7,two pointers
linked list,hard,7,doubly-linked list
rolling hash,medium,5,suffix array
greedy,easy,1,dynamic programming
two pointers,hard,6,array
depth-first search,easy,1,breadth-first search
string,easy,1,sorting
binary indexed tree,medium,3,range query
segment tree,medium,5,binary indexed tree
stack,medium,3,monotonic stack
binary indexed tree,medium,4,range query
rolling hash,hard,6,suffix array
math,hard,6,number theory
matrix,hard,6,simulation
sliding window,easy,2,two pointers
tree,medium,3,binary tree
sorting,medium,5,binary search
binary search,medium,5,tree
monotonic stack,easy,1,sliding window
probability,easy,1,statistics
sorting,hard,6,greedy
number theory,easy,1,combinatorics
rolling hash,hard,6,suffix array
system design,hard,7,concurrency
dynamic programming,easy,2,memoization
breadth-first search,easy,1,graph theory
segment tree,medium,5,binary indexed tree
array,hard,6,string
graph theory,hard,6,shortest path
breadth-first search,medium,4,graph theory
design,hard,7,system design
hash table,easy,2,graph theory
breadth-first search,medium,4,graph theory
divide and conquer,medium,3,segment tree
rolling hash,hard,6,suffix array
bitmask,easy,2,backtracking
simulation,easy,1,design
binary tree,hard,6,depth-first search
matrix,easy,2,simulation
concurrency,hard,7,design
binary indexed tree,medium,3,range query
recursion,medium,4,divide and conquer
graph theory,easy,1,shortest path
hash table,easy,2,graph theory
bitmask,easy,2,backtracking
probability,easy,2,statistics
backtracking,easy,1,recursion
hash table,medium,3,tree
sliding window,medium,3,two pointers
binary search,hard,7,tree
sorting,easy,1,binary search
string,hard,7,sorting
combinatorics,hard,6,probability
trie,medium,5,string matching
divide and conquer,hard,6,segment tree
number theory,medium,5,combinatorics
tree,easy,2,binary tree
rolling hash,medium,5,suffix array
stack,hard,7,monotonic stack
design,medium,3,system design
rolling hash,hard,6,suffix array
greedy,easy,1,dynamic programming
sliding window,medium,4,two pointers
recursion,medium,4,divide and conquer
bitmask,medium,3,backtracking
monotonic stack,medium,5,sliding window
monotonic stack,medium,4,sliding window
design,easy,2,system design
string matching,hard,6,rolling hash
depth-first search,medium,5,breadth-first search
divide and conquer,medium,4,segment tree
monotonic stack,easy,1,sliding window
array,medium,5,string
depth-first search,medium,3,breadth-first search
simulation,easy,1,design
sliding window,easy,2,two pointers
stack,hard,7,monotonic stack
string matching,hard,6,rolling hash
simulation,medium,5,design
probability,medium,4,statistics
stack,hard,6,monotonic stack
dynamic programming,medium,5,bitmask
sliding window,medium,5,two pointers
bitmask,easy,1,backtracking
bitmask,hard,6,backtracking
sorting,easy,1,greedy
bitmask,hard,7,backtracking
number theory,medium,5,combinatorics
stack,easy,2,monotonic stack
rolling hash,medium,3,suffix array
combinatorics,hard,6,probability
breadth-first search,medium,3,graph theory
backtracking,hard,7,recursion
monotonic stack,easy,1,sliding window
trie,medium,5,string matching
breadth-first search,easy,2,graph theory
rolling hash,easy,2,suffix array
two pointers,easy,2,array
tree,hard,7,binary tree
binary indexed tree,medium,5,range query
two pointers,easy,1,array
shortest path,medium,5,graph theory
tree,medium,3,binary tree
graph theory,easy,2,shortest path
depth-first search,hard,6,breadth-first search
combinatorics,medium,3,probability
probability,easy,1,statistics
concurrency,hard,6,design
segment tree,medium,3,binary indexed tree
concurrency,medium,4,design
math,easy,2,number theory
concurrency,easy,2,design
string,medium,5,hash table
string matching,easy,2,rolling hash
concurrency,easy,2,design
trie,easy,1,string matching
string matching,medium,3,rolling hash
linked list,easy,2,doubly-linked list
breadth-first search,easy,1,graph theory
two pointers,medium,4,array
array,medium,5,string
rolling hash,medium,4,suffix array
string matching,easy,2,rolling hash
breadth-first search,hard,6,graph theory
greedy,medium,4,dynamic programming
sorting,easy,1,greedy
breadth-first search,hard,6,graph theory
segment tree,hard,7,binary indexed tree
design,medium,5,system design
graph theory,medium,4,shortest path
design,medium,3,system design
segment tree,hard,7,binary indexed tree
concurrency,easy,2,design
monotonic stack,medium,4,sliding window
string matching,medium,4,rolling hash
concurrency,easy,2,design
trie,medium,4,string matching
bitmask,medium,5,backtracking
backtracking,medium,4,recursion
concurrency,medium,4,design
array,hard,6,hash table
segment tree,easy,2,binary indexed tree
math,hard,7,number theory
bitmask,hard,7,backtracking
math,medium,4,number theory
combinatorics,easy,2,probability
stack,easy,1,monotonic stack
concurrency,easy,1,design
segment tree,easy,1,binary indexed tree
tree,easy,1,graph theory
recursion,medium,5,divide and conquer
binary search,easy,2,graph theory
simulation,hard,7,design
two pointers,medium,5,array
monotonic stack,medium,5,sliding window
binary indexed tree,medium,4,range query
design,medium,5,system design
trie,medium,3,string matching
sorting,easy,2,binary search
bitmask,medium,4,backtracking
two pointers,easy,2,array
concurrency,hard,6,design
monotonic stack,medium,4,sliding window
monotonic stack,medium,3,sliding window
number theory,medium,3,combinatorics
segment tree,hard,6,binary indexed tree
greedy,medium,3,dynamic programming
number theory,medium,5,combinatorics
stack,medium,4,monotonic stack
rolling hash,medium,4,suffix array
two pointers,hard,6,array
bitmask,medium,4,backtracking
dynamic programming,medium,4,memoization
stack,easy,2,monotonic stack
number theory,hard,6,combinatorics
simulation,easy,2,design
bitmask,easy,1,backtracking
hash table,hard,6,tree
string,easy,2,hash table
sliding window,medium,4,two pointers
depth-first search,medium,4,breadth-first search
graph theory,hard,6,shortest path
sliding window,easy,2,two pointers
monotonic stack,hard,7,sliding window
tree,easy,2,binary tree
design,hard,7,system design
bitmask,hard,6,backtracking
number theory,easy,2,combinatorics
string matching,medium,5,rolling hash
design,medium,4,system design
recursion,medium,5,divide and conquer
greedy,easy,1,dynamic programming
graph theory,medium,4,shortest path
array,medium,4,string
sorting,easy,2,greedy
depth-first search,easy,1,breadth-first search
simulation,medium,4,design
trie,medium,3,string matching
rolling hash,medium,5,suffix array
design,easy,1,system design
bitmask,medium,3,backtracking
rolling hash,hard,7,suffix array
greedy,medium,3,dynamic programming
string matching,easy,1,rolling hash
math,medium,4,number theory
segment tree,easy,1,binary indexed tree
design,medium,4,system design
trie,hard,7,string matching
string,medium,5,sorting
trie,easy,1,string matching
probability,medium,4,statistics
matrix,hard,7,simulation
system design,hard,6,concurrency
graph theory,medium,3,minimum spanning tree
system design,easy,1,concurrency
linked list,easy,2,doubly-linked list
rolling hash,hard,6,suffix array
probability,medium,3,statistics
tree,easy,2,binary tree
backtracking,medium,3,recursion
graph theory,medium,4,shortest path
shortest path,hard,7,graph theory
monotonic stack,hard,6,sliding window
probability,medium,4,statistics
binary tree,easy,2,depth-first search
backtracking,medium,3,recursion
divide and conquer,easy,2,segment tree
depth-first search,easy,1,breadth-first search
greedy,medium,5,dynamic programming
two pointers,easy,1,array
depth-first search,hard,6,breadth-first search
matrix,medium,5,simulation
simulation,easy,1,design
design,hard,6,system design
binary search,medium,4,graph theory
combinatorics,easy,2,probability
dynamic programming,hard,6,memoization
string matching,easy,1,rolling hash
design,hard,7,system design
simulation,hard,7,design
divide and conquer,medium,4,segment tree
stack,hard,6,monotonic stack
simulation,medium,4,design
tree,medium,4,binary tree
matrix,easy,1,simulation
dynamic programming,hard,7,bitmask
graph theory,medium,3,minimum spanning tree
trie,hard,7,string matching
segment tree,hard,7,binary indexed tree
greedy,easy,1,dynamic programming
sorting,hard,6,greedy
rolling hash,medium,3,suffix array
linked list,medium,5,doubly-linked list
stack,easy,1,monotonic stack
binary search,hard,6,graph theory
string matching,easy,1,rolling hash
sorting,medium,3,binary search
design,easy,1,system design
divide and conquer,hard,6,segment tree
system design,hard,6,concurrency
graph theory,medium,4,minimum spanning tree
breadth-first search,easy,1,graph theory
graph theory,medium,4,minimum spanning tree
binary search,hard,6,graph theory
linked list,medium,3,doubly-linked list
number theory,medium,3,combinatorics
divide and conquer,medium,5,segment tree
concurrency,medium,3,design
rolling hash,medium,5,suffix array
trie,medium,5,string matching
system design,medium,4,concurrency
segment tree,medium,3,binary indexed tree
graph theory,medium,4,shortest path
graph theory,hard,6,minimum spanning tree
concurrency,medium,5,design
math,medium,3,number theory
simulation,medium,3,design
hash table,easy,1,graph theory
string,easy,2,sorting
rolling hash,hard,6,suffix array
trie,medium,4,string matching
number theory,easy,1,combinatorics
binary search,medium,3,graph theory
rolling hash,easy,2,suffix array
design,easy,2,system design
divide and conquer,easy,2,segment tree
segment tree,easy,2,binary indexed tree
recursion,medium,3,divide and conquer
backtracking,easy,1,recursion
rolling hash,medium,3,suffix array
sorting,medium,4,binary search
system design,medium,4,concurrency
number theory,easy,2,combinatorics
string,medium,3,hash table
two pointers,medium,4,array
dynamic programming,medium,3,bitmask
binary tree,easy,1,depth-first search
divide and conquer,medium,4,segment tree
tree,hard,7,graph theory
greedy,medium,4,dynamic programming
breadth-first search,medium,3,graph theory
binary search,medium,4,tree
breadth-first search,hard,7,graph theory
string matching,hard,6,rolling hash
string matching,easy,2,rolling hash
sorting,medium,3,greedy
linked list,hard,7,doubly-linked list
two pointers,medium,5,array
monotonic stack,hard,6,sliding window
linked list,hard,6,doubly-linked list
two pointers,hard,7,array
breadth-first search,easy,1,graph theory
combinatorics,hard,6,probability
array,easy,2,hash table
segment tree,easy,1,binary indexed tree
breadth-first search,easy,2,graph theory
sliding window,easy,2,two pointers
binary search,hard,6,tree
matrix,hard,6,simulation
bitmask,hard,7,backtracking
recursion,hard,7,divide and conquer
design,medium,3,system design
binary tree,hard,6,depth-first search
breadth-first search,medium,3,graph theory
probability,hard,6,statistics
linked list,medium,3,doubly-linked list
math,easy,1,number theory
monotonic stack,hard,6,sliding window
number theory,easy,2,combinatorics
system design,medium,4,concurrency
depth-first search,easy,1,breadth-first search
combinatorics,hard,6,probability
system design,medium,3,concurrency
design,medium,3,system design
tree,hard,6,graph theory
number theory,hard,7,combinatorics
simulation,easy,2,design
bitmask,medium,4,backtracking
sorting,easy,1,greedy
string matching,easy,1,rolling hash
sorting,hard,6,greedy
array,medium,3,hash table
sliding window,easy,1,two pointers
binary indexed tree,medium,4,range query
recursion,medium,5,divide and conquer
graph theory,hard,6,minimum spanning tree
recursion,medium,5,divide and conquer
sorting,hard,7,binary search
hash table,medium,3,tree
simulation,easy,2,design
string,easy,2,hash table
simulation,hard,6,design
trie,hard,6,string matching
simulation,hard,6,design
sliding window,medium,4,two pointers
shortest path,medium,3,graph theory
binary search,easy,2,tree
segment tree,easy,2,binary indexed tree
greedy,medium,3,dynamic programming
simulation,easy,2,design
graph theory,hard,6,minimum spanning tree
string matching,hard,6,rolling hash
binary search,easy,1,tree
depth-first search,medium,5,breadth-first search
two pointers,easy,2,array
tree,hard,6,graph theory
shortest path,easy,2,graph theory
binary search,medium,5,graph theory
sliding window,easy,1,two pointers
breadth-first search,medium,5,graph theory
simulation,hard,7,design
system design,easy,1,concurrency
sorting,easy,1,greedy
probability,medium,4,statistics
binary search,easy,2,tree
string matching,hard,7,rolling hash
tree,hard,6,graph theory
depth-first search,medium,4,breadth-first search
greedy,easy,2,dynamic programming
simulation,medium,4,design
linked list,medium,3,doubly-linked list
hash table,hard,7,graph theory
two pointers,easy,1,array
segment tree,hard,7,binary indexed tree
probability,easy,2,statistics
binary search,medium,4,graph theory
greedy,medium,5,dynamic programming
combinatorics,easy,1,probability
matrix,hard,6,simulation
two pointers,hard,6,array
binary tree,easy,2,depth-first search
dynamic programming,medium,3,bitmask
dynamic programming,hard,7,bitmask
monotonic stack,medium,4,sliding window
concurrency,easy,1,design
tree,easy,2,binary tree
string matching,hard,7,rolling hash
linked list,medium,4,doubly-linked list
monotonic stack,hard,6,sliding window
probability,medium,5,statistics
dynamic programming,hard,6,memoization
tree,medium,3,binary tree
linked list,medium,4,doubly-linked list
monotonic stack,easy,1,sliding window
recursion,easy,2,divide and conquer
matrix,medium,5,simulation
monotonic stack,medium,3,sliding window
dynamic programming,medium,5,bitmask
system design,easy,1,concurrency
trie,medium,5,string matching
bitmask,easy,2,backtracking
linked list,medium,3,doubly-linked list
tree,medium,4,graph theory
simulation,easy,2,design
linked list,hard,6,doubly-linked list
sliding window,easy,1,two pointers
backtracking,medium,3,recursion
graph theory,hard,6,shortest path
string,medium,3,hash table
math,hard,6,number theory
depth-first search,hard,7,breadth-first search
number theory,medium,4,combinatorics
recursion,easy,1,divide and conquer
number theory,hard,6,combinatorics
design,easy,1,system design
bitmask,medium,3,backtracking
divide and conquer,hard,7,segment tree
tree,easy,1,binary tree
breadth-first search,medium,4,graph theory
depth-first search,medium,3,breadth-first search
backtracking,hard,7,recursion
combinatorics,hard,6,probability
stack,medium,5,monotonic stack
probability,hard,7,statistics
string,medium,3,sorting
number theory,medium,4,combinatorics
bitmask,easy,1,backtracking
matrix,easy,1,simulation
greedy,easy,2,dynamic programming
backtracking,easy,2,recursion
breadth-first search,hard,6,graph theory
math,medium,3,number theory
segment tree,easy,2,binary indexed tree
greedy,easy,2,dynamic programming
rolling hash,medium,5,suffix array
combinatorics,medium,4,probability
string,easy,2,sorting
trie,easy,2,string matching
rolling hash,easy,1,suffix array
dynamic programming,hard,7,bitmask
binary tree,hard,6,depth-first search
binary search,medium,3,tree
shortest path,hard,7,graph theory
string matching,medium,4,rolling hash
matrix,easy,1,simulation
monotonic stack,medium,5,sliding window
concurrency,easy,2,design
tree,medium,4,graph theory
binary search,medium,3,tree
number theory,medium,4,combinatorics
matrix,medium,4,simulation
simulation,hard,7,design
hash table,easy,2,tree
number theory,medium,5,combinatorics
segment tree,easy,2,binary indexed tree
stack,easy,2,monotonic stack
segment tree,hard,7,binary indexed tree
breadth-first search,medium,4,graph theory
depth-first search,hard,6,breadth-first search
math,medium,4,number theory
linked list,easy,2,doubly-linked list
string matching,hard,7,rolling hash
simulation,easy,1,design
tree,medium,3,binary tree
segment tree,easy,1,binary indexed tree
shortest path,medium,5,graph theory
recursion,hard,7,divide and conquer
binary search,easy,1,graph theory
sorting,hard,6,greedy
number theory,medium,5,combinatorics
hash table,easy,1,graph theory
concurrency,hard,6,design
design,hard,7,system design
linked list,hard,6,doubly-linked list
rolling hash,easy,2,suffix array
depth-first search,easy,2,breadth-first search
number theory,medium,5,combinatorics
bitmask,medium,3,backtracking
design,medium,4,system design
monotonic stack,hard,6,sliding window
string,medium,5,hash table
depth-first search,easy,1,breadth-first search
sorting,medium,4,greedy
graph theory,easy,2,minimum spanning tree
string,easy,2,sorting
greedy,hard,6,dynamic programming
binary tree,easy,1,depth-first search
graph theory,hard,7,shortest path
hash table,easy,1,tree
backtracking,hard,6,recursion
string matching,hard,6,rolling hash
simulation,hard,6,design
divide and conquer,easy,2,segment tree
bitmask,medium,4,backtracking
greedy,medium,5,dynamic programming
divide and conquer,hard,7,segment tree
sorting,medium,5,binary search
rolling hash,easy,2,suffix array
dynamic programming,easy,1,memoization
tree,hard,6,binary tree
simulation,easy,1,design
math,easy,2,number theory
divide and conquer,hard,7,segment tree
breadth-first search,hard,6,graph theory
binary search,hard,6,graph theory
binary search,hard,7,graph theory
depth-first search,medium,3,breadth-first search
system design,easy,1,concurrency
dynamic programming,hard,6,bitmask
string,easy,1,sorting
system design,hard,6,concurrency
concurrency,medium,3,design
sorting,medium,5,binary search
tree,medium,3,binary tree
linked list,hard,7,doubly-linked list
greedy,easy,2,dynamic programming
graph theory,hard,6,minimum spanning tree
rolling hash,easy,1,suffix array
stack,medium,5,monotonic stack
simulation,medium,4,design
bitmask,hard,6,backtracking
simulation,medium,4,design
two pointers,easy,2,array
binary search,hard,6,graph theory
rolling hash,hard,7,suffix array
backtracking,easy,1,recursion
matrix,medium,3,simulation
simulation,hard,6,design
trie,medium,5,string matching
binary indexed tree,easy,1,range query
number theory,medium,5,combinatorics
bitmask,medium,5,backtracking
tree,medium,3,graph theory
greedy,medium,4,dynamic programming
greedy,hard,6,dynamic programming
sliding window,medium,4,two pointers
shortest path,medium,4,graph theory
monotonic stack,easy,2,sliding window
number theory,medium,3,combinatorics
trie,medium,3,string matching
two pointers,hard,6,array
linked list,hard,7,doubly-linked list
sliding window,easy,2,two pointers
segment tree,medium,5,binary indexed tree
binary tree,easy,2,depth-first search
sliding window,medium,4,two pointers
sliding window,medium,4,two pointers
probability,hard,7,statistics
string,medium,3,hash table
probability,easy,1,statistics
number theory,hard,6,combinatorics
bitmask,easy,1,backtracking
string matching,easy,1,rolling hash
rolling hash,easy,1,suffix array
dynamic programming,easy,1,memoization
linked list,hard,6,doubly-linked list
breadth-first search,hard,6,graph theory
simulation,medium,4,design
breadth-first search,medium,3,graph theory
array,medium,4,hash table
monotonic stack,easy,2,sliding window
design,hard,6,system design
hash table,medium,4,graph theory
sliding window,hard,7,two pointers
string matching,easy,1,rolling hash
sliding window,hard,6,two pointers
segment tree,medium,4,binary indexed tree
math,hard,6,number theory
combinatorics,medium,3,probability
rolling hash,hard,7,suffix array
dynamic programming,medium,4,bitmask
binary search,easy,2,tree
sorting,medium,3,greedy
backtracking,hard,6,recursion
probability,medium,3,statistics
array,medium,3,hash table
binary search,medium,4,tree
stack,easy,1,monotonic stack
string matching,easy,1,rolling hash
simulation,medium,3,design
array,easy,2,hash table
math,medium,4,number theory
string,easy,1,hash table
recursion,medium,4,divide and conquer
two pointers,hard,7,array
string matching,hard,6,rolling hash
recursion,medium,3,divide and conquer
binary indexed tree,easy,2,range query
binary tree,easy,2,depth-first search
concurrency,medium,4,design
two pointers,hard,7,array
binary search,medium,5,graph theory
dynamic programming,hard,6,bitmask
monotonic stack,easy,2,sliding window
binary indexed tree,hard,7,range query
stack,medium,5,monotonic stack
binary indexed tree,hard,6,range query
two pointers,hard,7,array
backtracking,hard,6,recursion
binary indexed tree,easy,1,range query
bitmask,hard,7,backtracking
array,easy,1,string
tree,easy,2,graph theory
binary indexed tree,hard,7,range query
hash table,hard,6,graph theory
tree,medium,3,graph theory
graph theory,medium,3,minimum spanning tree
backtracking,medium,5,recursion
string,medium,5,hash table
simulation,medium,3,design
binary tree,medium,5,depth-first search
simulation,easy,2,design
greedy,easy,2,dynamic programming
array,hard,6,string
linked list,hard,6,doubly-linked list
breadth-first search,easy,1,graph theory
combinatorics,hard,6,probability
breadth-first search,hard,7,graph theory
binary indexed tree,hard,7,range query
sliding window,medium,5,two pointers
number theory,easy,1,combinatorics
math,medium,3,number theory
greedy,hard,6,dynamic programming
matrix,easy,1,simulation
shortest path,medium,5,graph theory
monotonic stack,medium,5,sliding window
simulation,easy,1,design
binary tree,hard,6,depth-first search
linked list,hard,6,doubly-linked list
binary indexed tree,medium,5,range query
binary indexed tree,medium,3,range query
segment tree,hard,6,binary indexed tree
rolling hash,medium,3,suffix array
graph theory,medium,5,shortest path
two pointers,easy,1,array
tree,hard,7,binary tree
string matching,easy,1,rolling hash
string matching,easy,2,rolling hash
combinatorics,hard,7,probability
binary tree,easy,2,depth-first search
divide and conquer,medium,5,segment tree
hash table,easy,2,graph theory
linked list,easy,2,doubly-linked list
backtracking,easy,1,recursion
simulation,easy,1,design
concurrency,medium,5,design
simulation,easy,2,design
dynamic programming,hard,7,memoization
backtracking,medium,3,recursion
hash table,hard,6,graph theory
recursion,medium,3,divide and conquer
number theory,medium,3,combinatorics
sliding window,easy,2,two pointers
binary tree,hard,7,depth-first search
breadth-first search,medium,3,graph theory
design,medium,3,system design
probability,easy,2,statistics
simulation,hard,6,design
simulation,easy,1,design
simulation,medium,4,design
two pointers,medium,5,array
string,hard,6,hash table
stack,hard,6,monotonic stack
stack,medium,3,monotonic stack
binary tree,hard,7,depth-first search
binary tree,easy,1,depth-first search
string matching,hard,6,rolling hash
dynamic programming,hard,7,memoization
graph theory,hard,7,minimum spanning tree
binary search,easy,1,tree
binary indexed tree,hard,7,range query
array,hard,6,hash table
graph theory,hard,7,minimum spanning tree
depth-first search,hard,6,breadth-first search
design,hard,7,system design
string,easy,1,hash table
binary search,medium,3,graph theory
backtracking,easy,1,recursion
monotonic stack,easy,1,sliding window
stack,easy,1,monotonic stack
probability,medium,3,statistics
math,medium,5,number theory
hash table,easy,1,graph theory
sorting,easy,1,greedy
probability,hard,7,statistics
bitmask,hard,7,backtracking
simulation,easy,2,design
two pointers,medium,4,array
sorting,easy,1,binary search
rolling hash,hard,6,suffix array
dynamic programming,medium,5,bitmask
tree,easy,1,graph theory
design,hard,6,system design
probability,medium,3,statistics
depth-first search,hard,6,breadth-first search
system design,medium,3,concurrency
recursion,easy,2,divide and conquer
binary tree,easy,2,depth-first search
bitmask,easy,2,backtracking
string,hard,7,sorting
binary indexed tree,easy,2,range query
rolling hash,medium,3,suffix array
graph theory,easy,1,shortest path
matrix,hard,7,simulation
number theory,medium,4,combinatorics
simulation,easy,1,design
greedy,hard,6,dynamic programming
binary indexed tree,medium,4,range query
bitmask,easy,2,backtracking
sorting,hard,6,binary search
dynamic programming,easy,1,memoization
string matching,easy,2,rolling hash
hash table,hard,7,graph theory
string,medium,5,sorting
binary tree,easy,1,depth-first search
system design,hard,7,concurrency
monotonic stack,hard,7,sliding window
rolling hash,medium,3,suffix array
math,easy,2,number theory
recursion,hard,6,divide and conquer
sliding window,hard,7,two pointers
dynamic programming,medium,5,bitmask
backtracking,easy,2,recursion
monotonic stack,hard,7,sliding window
string,medium,5,hash table
concurrency,medium,5,design
depth-first search,hard,6,breadth-first search
design,medium,4,system design
number theory,easy,2,combinatorics
backtracking,easy,2,recursion
string,medium,4,sorting
shortest path,medium,3,graph theory
graph theory,hard,7,minimum spanning tree
sorting,medium,3,binary search
design,medium,3,system design
math,easy,2,number theory
graph theory,medium,4,shortest path
string matching,easy,1,rolling hash
bitmask,easy,1,backtracking
stack,easy,1,monotonic stack
design,hard,7,system design
divide and conquer,hard,7,segment tree
divide and conquer,easy,1,segment tree
tree,medium,5,graph theory
probability,hard,6,statistics
bitmask,easy,1,backtracking
recursion,easy,2,divide and conquer
array,easy,2,string
array,easy,1,string
math,easy,1,number theory
linked list,easy,2,doubly-linked list
number theory,easy,2,combinatorics
graph theory,medium,3,shortest path
depth-first search,medium,4,breadth-first search
monotonic stack,easy,2,sliding window
concurrency,medium,5,design
simulation,hard,7,design
system design,hard,7,concurrency
probability,medium,3,statistics
hash table,hard,7,tree
simulation,hard,6,design
linked list,hard,6,doubly-linked list
binary tree,easy,2,depth-first search
breadth-first search,medium,5,graph theory
bitmask,hard,7,backtracking
tree,easy,1,graph theory
segment tree,medium,5,binary indexed tree
string,easy,1,hash table
segment tree,hard,6,binary indexed tree
two pointers,easy,1,array
simulation,medium,4,design
rolling hash,easy,1,suffix array
divide and conquer,easy,1,segment tree
combinatorics,medium,5,probability
matrix,easy,2,simulation
backtracking,easy,1,recursion
math,hard,6,number theory
matrix,medium,4,simulation
math,easy,1,number theory
array,medium,5,hash table
binary tree,easy,2,depth-first search
divide and conquer,easy,2,segment tree
string,medium,3,sorting
number theory,hard,7,combinatorics
breadth-first search,easy,2,graph theory
shortest path,medium,5,graph theory
number theory,medium,4,combinatorics
binary indexed tree,easy,1,range query
dynamic programming,easy,2,memoization
sorting,easy,2,greedy
trie,medium,5,string matching
design,hard,6,system design
string matching,hard,6,rolling hash
tree,hard,7,graph theory
two pointers,easy,2,array
monotonic stack,medium,5,sliding window
stack,hard,6,monotonic stack
segment tree,medium,4,binary indexed tree
depth-first search,medium,4,breadth-first search
recursion,hard,6,divide and conquer
sliding window,hard,7,two pointers
system design,easy,1,concurrency
divide and conquer,easy,2,segment tree
rolling hash,hard,6,suffix array
monotonic stack,hard,7,sliding window
stack,easy,1,monotonic stack
concurrency,medium,3,design
sliding window,medium,3,two pointers
segment tree,easy,1,binary indexed tree
breadth-first search,hard,6,graph theory
stack,easy,1,monotonic stack
tree,hard,6,binary tree
backtracking,hard,6,recursion
sorting,easy,1,binary search
hash table,easy,2,tree
probability,easy,2,statistics
graph theory,easy,2,minimum spanning tree
string matching,medium,3,rolling hash
binary tree,easy,2,depth-first search
sliding window,easy,1,two pointers
combinatorics,hard,6,probability
stack,medium,3,monotonic stack
string matching,medium,4,rolling hash
math,easy,1,number theory
concurrency,medium,3,design
linked list,easy,1,doubly-linked list
hash table,hard,6,tree
hash table,hard,6,graph theory
two pointers,hard,6,array
dynamic programming,hard,7,bitmask
linked list,easy,1,doubly-linked list
two pointers,easy,1,array
hash table,medium,5,graph theory
stack,medium,3,monotonic stack
divide and conquer,medium,5,segment tree
hash table,easy,2,tree
binary indexed tree,medium,3,range query
divide and conquer,easy,2,segment tree
math,easy,1,number theory
recursion,hard,7,divide and conquer
greedy,medium,4,dynamic programming
greedy,easy,2,dynamic programming
depth-first search,easy,2,breadth-first search
trie,easy,2,string matching
sorting,easy,2,binary search
simulation,medium,5,design
bitmask,medium,3,backtracking
depth-first search,easy,1,breadth-first search
backtracking,easy,2,recursion
system design,easy,1,concurrency
dynamic programming,medium,5,bitmask
system design,medium,5,concurrency
simulation,hard,7,design
combinatorics,easy,2,probability
two pointers,medium,5,array
recursion,easy,2,divide and conquer
recursion,medium,5,divide and conquer
linked list,medium,3,doubly-linked list
linked list,medium,5,doubly-linked list
